"col.name" "col.class" "unique" "required" "multiplevalues" "description" "allowedvalues" "static.enum" "dynamic.enum" "dynamic.enum.property" "delimiter" "separator" "corpus.type"
"AGE" "integer" "non-unique" "optional" FALSE "Age at which the condition or disease was first diagnosed, in years." "[0-9]+" NA NA NA NA NA "integer"
"DFS_MONTHS" "double" "non-unique" "optional" FALSE "Disease free survival in months since initial treatment." NA NA NA NA NA NA "numeric"
"DFS_STATUS" "character" "non-unique" "optional" FALSE "Disease free status since initial treatment. Value must be prefixed with 0: (no event) or 1: (event occurred)." "0:DiseaseFree|1:Recurred/Progressed" NA NA NA NA NA "static_enum"
"GENDER" "character" "non-unique" "optional" FALSE "Gender or sex of the patient." ".+" NA NA NA NA NA "any"
"OS_MONTHS" "double" "non-unique" "optional" FALSE "Overall survival in months since initial diagnosis." NA NA NA NA NA NA "numeric"
"OS_STATUS" "character" "non-unique" "optional" FALSE "Overall patient survival status. Value must be prefixed with 0: (no event) or 1: (event occurred)." "1:DECEASED|0:LIVING" NA NA NA NA NA "static_enum"
"PATIENT_DISPLAY_NAME" "character" "non-unique" "optional" FALSE "Patient display name shown in the patient view header." NA NA NA NA NA NA "any"
"PATIENT_ID" "character" "non-unique" "required" FALSE "Unique patient identifier. Allowed characters: numbers, letters, points, underscores, and hyphens." "[0-9a-zA-Z._-]+" NA NA NA NA NA "regexp"
"SEX" "character" "non-unique" "optional" FALSE "Sex of the patient." ".+" NA NA NA NA NA "any"
"TUMOR_SITE" "character" "non-unique" "optional" FALSE "Tumor site of the patient." ".+" NA NA NA NA NA "any"
"ASCN.CCF_EXPECTED_COPIES" "double" "non-unique" "optional" FALSE "Cancer-cell fraction if mutation exists on major allele. Required if ascn namespace is specified." NA NA NA NA NA NA "numeric"
"ASCN.CCF_EXPECTED_COPIES_UPPER" "double" "non-unique" "optional" FALSE "Upper error for CCF estimate. Required if ascn namespace is specified." NA NA NA NA NA NA "numeric"
