field_name,is_numeric_field
AGE,yes
DFS_MONTHS,yes
DFS_STATUS,no
GENDER,no
OS_MONTHS,yes
OS_STATUS,no
PATIENT_DISPLAY_NAME,no
PATIENT_ID,no
SEX,no
TUMOR_SITE,no
ASCN.CCF_EXPECTED_COPIES,yes
ASCN.CCF_EXPECTED_COPIES_UPPER,yes
ASCN.EXPECTED_ALT_COPIES,yes
CANCER_TYPE,no
CANCER_TYPE_DETAILED,no
DRIVER_MUTATIONS,no
ERG_FUSION_ACGH,no
ETS_RAF_SPINK1_STATUS,no
GLEASON_SCORE,no
HISTOLOGY,no
KNOWN_MOLECULAR_CLASSIFIER,no
SERUM_PSA,yes
TMPRSS2_ERG_FUSION_STATUS,no
TUMOR_GRADE,no
TUMOR_STAGE_2009,no
METASTATIC_SITE,no
PRIMARY_SITE,no
SAMPLE_CLASS,no
SAMPLE_DISPLAY_NAME,no
SAMPLE_ID,no
SAMPLE_TYPE,no
TUMOR_TISSUE_SITE,no
TUMOR_TYPE,no
AGENT,no
AGENT_CLASS,no
DIAGNOSTIC_TYPE,no
DIAGNOSTIC_TYPE_DETAILED,no
EVENT_TYPE,no
SPECIMEN_SITE,no
SPECIMEN_TYPE,no
START_DATE,yes
STATUS,no
STOP_DATE,yes
STYLE_COLOR,no
STYLE_SHAPE,no
SUBTYPE,no
TEST,no
TL_PATIENT_ID,no
TL_RESULT,no
TL_SAMPLE_ID,no
TL_SOURCE,no
TREATMENT_TYPE,no
