field_name,source,is_numeric_field
AGE,age_at_baseline,yes
AGE,patient_age,yes
AGE,age_years,yes
AGE,AGE_AT_DIAGNOSIS,yes
AGE,age_enrollment,yes
AGE,baseline_age,yes
AGE,pt_age,yes
AGE,subject_age_years,yes
AGE,age_current,yes
AGE,AGE_AT_SAMPLE_COLLECTION,yes
AGE,enrollment_age,yes
AGE,age_sampling,yes
DFS_MONTHS,disease_free_survival_months,yes
DFS_MONTHS,DFS_MONTH,yes
DFS_MONTHS,disease_free_survival_time,yes
DFS_MONTHS,dfs_time_months,yes
DFS_MONTHS,MONTHS_DISEASE_FREE_SURVIVAL,yes
DFS_MONTHS,patient_dfs_months,yes
DFS_MONTHS,pt_dfs_mo,yes
DFS_MONTHS,disease_free_months,yes
DFS_MONTHS,dfs.months,yes
DFS_MONTHS,time_to_recurrence_months,yes
DFS_STATUS,disease_free_survival_status,
DFS_STATUS,DFS_STATUS_CODE,
DFS_STATUS,dfs_event,
DFS_STATUS,recurrence_status,
DFS_STATUS,disease_free_status,
DFS_STATUS,DFS.STATUS,
DFS_STATUS,patient_dfs_status,
DFS_STATUS,pt_disease_free_survival_status,
DFS_STATUS,status_disease_free_survival,
DFS_STATUS,dfs_event_indicator,
GENDER,patient_gender,
GENDER,sex_at_birth,
GENDER,GENDER_CODE,
GENDER,gender_identity,
GENDER,pt_gender,
GENDER,gender_assignment,
GENDER,biological_gender,
GENDER,demographic_gender,
GENDER,subject_gender,
GENDER,gender_reported,
OS_MONTHS,overall_survival_months,yes
OS_MONTHS,OS_MONTH,yes
OS_MONTHS,overall_survival_time,yes
OS_MONTHS,os_time_months,yes
OS_MONTHS,MONTHS_OVERALL_SURVIVAL,yes
OS_MONTHS,patient_os_months,yes
OS_MONTHS,pt_os_mo,yes
OS_MONTHS,survival_months,yes
OS_MONTHS,os.months,yes
OS_MONTHS,time_to_death_months,yes
OS_STATUS,overall_survival_status,
OS_STATUS,OS_STATUS_CODE,
OS_STATUS,vital_status,
OS_STATUS,OS.STATUS,
OS_STATUS,patient_vital_status,
OS_STATUS,pt_overall_survival_status,
OS_STATUS,status_overall_survival,
OS_STATUS,vital_event_indicator,
OS_STATUS,patient_deceased,
