field_name,is_numeric_field
study_name,no
subject_id,no
sample_id,no
curator,no
pmid,yes
subcohort,no
target_condition,no
control,no
country,no
body_site,no
body_site_details,no
days_from_first_collection,yes
lifestyle,no
location,no
probing_pocket_depth,no
westernized,no
antibiotics_exclusion_period,yes
antibiotics_exclusion_period_unit,no
probing_pocket_depth_value,no
dna_extraction_kit,no
ncbi_accession,no
sequencing_platform,no
age,yes
age_group,no
age_unit,no
ancestry,no
ancestry_details,no
family,no
family_role,no
sex,no
zigosity,no
age_min,yes
age_max,yes
age_years,yes
antibiotics_current_use,no
bmi,yes
dietary_restriction,no
disease,no
disease_details,no
disease_response_orr,no
disease_response_pfs,no
disease_response_pfs_month,yes
disease_response_recist,no
feces_phenotype,no
fmt_id,no
fmt_role,no
hla,no
neonatal_birth_weight,yes
neonatal_delivery_procedure,no
neonatal_feeding_method,no
neonatal_gestational_age,yes
neonatal_preterm_birth,no
obgyn_birth_control,no
obgyn_lactating,no
obgyn_menopause,no
obgyn_pregnancy,no
smoker,no
treatment,no
tumor_staging_ajcc,no
tumor_staging_tnm,no
biomarker_name,no
biomarker_unit,no
biomarker_value,yes
disease_response_os,yes
disease_response_os_unit,no
ecog_performance_status,no
feces_phenotype_value,no
tumor_size_measurement,yes
tumor_size_residual_measurement,no
uncurated_metadata,no
host_species,no
