field_name,source,is_numeric_field
study_name,Study Name,
study_name,Study,
study_name,study_id,
study_name,Project Name,
study_name,Cohort Name,
study_name,Research Study,
subject_id,Subject ID,
subject_id,Subject Identifier,
subject_id,Patient ID,
subject_id,Participant ID,
subject_id,Individual ID,
subject_id,ID,
sample_id,Sample ID,
sample_id,Sample Identifier,
sample_id,Specimen ID,
sample_id,Aliquot ID,
sample_id,Sample Number,
sample_id,Sample Code,
curator,Curator,
curator,Curator Name,
curator,Data Curator,
curator,Curated By,
pmid,PMID,yes
pmid,PubMed ID,yes
pmid,Publication ID,yes
pmid,PubMed Identifier,yes
pmid,Publication PMID,yes
subcohort,Subcohort,
subcohort,Sub Cohort,
subcohort,Subgroup,
subcohort,Stratum,
subcohort,Cohort Subset,
target_condition,Target Condition,
target_condition,Condition,
target_condition,Primary Condition,
target_condition,Disease Focus,
target_condition,Disease Target,
control,Control,
control,Control Status,
control,Control Group,
control,Case Control,
control,Is Control,
country,Country,
country,Country of Origin,
country,Country Name,
country,Geographic Country,
body_site,Body Site,
body_site,Anatomic Site,
body_site,Primary Site,
body_site,Site,
body_site,Anatomical Location,
body_site_details,Body Site Details,
body_site_details,Anatomic Site Details,
body_site_details,Site Details,
body_site_details,Tissue Details,
body_site_details,Location Details,
days_from_first_collection,Days From First Collection,yes
days_from_first_collection,Days to Collection,yes
days_from_first_collection,First Collection Days,yes
days_from_first_collection,Days Since First Collection,yes
days_from_first_collection,Collection Days,yes
lifestyle,Lifestyle,
lifestyle,Lifestyle Factors,
lifestyle,Life Style,
lifestyle,Living Habits,
location,Location,
location,Geographic Location,
location,Geographic Region,
location,Site Location,
location,Collection Location,
probing_pocket_depth,Probing Pocket Depth,
probing_pocket_depth,Pocket Depth,
probing_pocket_depth,PPD,
probing_pocket_depth,Periodontal Pocket Depth,
probing_pocket_depth,Pocket Probing Depth,
westernized,Westernized,
westernized,Western Diet,
westernized,Westernization,
westernized,Western Lifestyle,
antibiotics_exclusion_period,Antibiotics Exclusion Period,yes
antibiotics_exclusion_period,Antibiotic Exclusion Period,yes
antibiotics_exclusion_period,Exclusion Period Antibiotics,yes
antibiotics_exclusion_period,Antibiotic Washout Period,yes
antibiotics_exclusion_period,Antibiotic Exclusion,yes
antibiotics_exclusion_period_unit,Antibiotics Exclusion Period Unit,
antibiotics_exclusion_period_unit,Antibiotic Exclusion Period Unit,
antibiotics_exclusion_period_unit,Exclusion Period Unit,
antibiotics_exclusion_period_unit,Unit,
antibiotics_exclusion_period_unit,Time Unit,
probing_pocket_depth_value,Probing Pocket Depth Value,
probing_pocket_depth_value,Pocket Depth Value,
probing_pocket_depth_value,PPD Value,
probing_pocket_depth_value,Depth Value,
dna_extraction_kit,DNA Extraction Kit,
dna_extraction_kit,DNA Extraction Method,
dna_extraction_kit,Extraction Kit,
dna_extraction_kit,Kit,
dna_extraction_kit,DNA Kit,
ncbi_accession,NCBI Accession,
ncbi_accession,Accession Number,
ncbi_accession,Accession,
ncbi_accession,NCBI ID,
sequencing_platform,Sequencing Platform,
sequencing_platform,Sequencer,
sequencing_platform,Platform,
sequencing_platform,Sequence Platform,
age,Age,yes
age,Age at Baseline,yes
age,Subject Age,yes
age,Patient Age,yes
age_group,Age Group,
age_group,Age Category,
age_group,Age Range,
age_group,Age Bin,
age_unit,Age Unit,
age_unit,Unit,
age_unit,Time Unit,
age_unit,Age Measurement Unit,
ancestry,Ancestry,
ancestry,Ancestral Background,
ancestry,Ethnicity,
ancestry,Race,
ancestry,Population,
ancestry_details,Ancestry Details,
ancestry_details,Ancestral Details,
ancestry_details,Ancestry Background Details,
ancestry_details,Ethnicity Details,
family,Family,
family,Family ID,
family,Family Identifier,
family,Family Unit,
family,Pedigree,
family_role,Family Role,
family_role,Role,
family_role,Family Relationship,
family_role,Relationship,
sex,Sex,
sex,Gender,
sex,Biological Sex,
sex,Sex at Birth,
zigosity,Zigosity,
zigosity,Zygosity,
zigosity,Twin Status,
zigosity,Zygotic Status,
age_min,Age Minimum,yes
age_min,Age Min,yes
age_min,Minimum Age,yes
age_min,Age Lower Bound,yes
age_max,Age Maximum,yes
age_max,Age Max,yes
age_max,Maximum Age,yes
age_max,Age Upper Bound,yes
age_years,Age Years,yes
age_years,Age in Years,yes
age_years,Years,yes
age_years,Age Value,yes
antibiotics_current_use,Antibiotics Current Use,
antibiotics_current_use,Current Antibiotic Use,
antibiotics_current_use,Antibiotic Use,
antibiotics_current_use,Using Antibiotics,
antibiotics_current_use,On Antibiotics,
bmi,BMI,yes
bmi,Body Mass Index,yes
bmi,BMI Value,yes
bmi,Weight BMI,yes
dietary_restriction,Dietary Restriction,
dietary_restriction,Diet Restriction,
dietary_restriction,Diet,
dietary_restriction,Dietary Constraint,
disease,Disease,
disease,Disease Type,
disease,Disease Name,
disease,Diagnosis,
disease,Condition,
disease_details,Disease Details,
disease_details,Diagnosis Details,
disease_details,Disease Description,
disease_details,Condition Details,
disease_response_orr,Disease Response ORR,
disease_response_orr,Overall Response Rate,
disease_response_orr,ORR,
disease_response_orr,Response Rate,
