"col.name" "col.class" "unique" "required" "multiplevalues" "description" "allowedvalues" "static.enum" "dynamic.enum" "dynamic.enum.property" "delimiter" "separator" "corpus.type"
"age_at_death" "numeric" "non-unique" "optional" FALSE "The age at which death occurred. Unit is a year." "[0-9]+" NA "HANCESTRO:0004" "children" NA NA "regexp"
"age_at_diagnosis" "numeric" "non-unique" "optional" FALSE "The age of an individual at the time of initial pathologic diagnosis." "[0-9]+" NA NA NA NA NA "regexp"
"age_at_metastasis" "numeric" "non-unique" "optional" FALSE "Subject's age in years at initial metastasis of cancer" "[0-9]+" NA NA NA NA NA "regexp"
"age_at_procurement" "numeric" "non-unique" "required" FALSE "Subject's age in years at initial procurement of the sample" "[0-9]+" NA NA NA NA NA "regexp"
"age_group" "character" "non-unique" "optional" FALSE "Age group classification: Newborn (< 1 month/28 days), Infant (>= 1 month & < 2 yrs), Child (>= 2 yrs & < 11 yrs), Adolescent (>= 11 yrs & < 18 yrs), Adult (>= 18 yrs & < 65 yrs), Elderly (>= 65 yrs)" "Newborn|Infant|Child|Adolescent|Adult|Elderly" "NCIT:C16731|NCIT:C27956|NCIT:C16423|NCIT:C27954|NCIT:C17600|NCIT:C16268" NA NA NA NA "static_enum"
"ancestry" "character" "non-unique" "optional" FALSE "Population category defined using ancestry informative markers (AIMs) based on genetic/genomic data (children of HANCESTRO:0004)" NA NA "HANCESTRO:0004" "children" NA NA "dynamic_enum"
"ancestry_details" "character" "non-unique" "optional" TRUE "A person's descent or lineage (more specific than 'ancestry'). Patient's population ancestry information, inclusive of values relating to racial and ethnic groups" NA NA "HANCESTRO:0004" "descendant" NA NA "dynamic_enum"
"body_site" "character" "non-unique" "optional" TRUE "Named locations of or within the body. The anatomical location(s) affected by the patient's disease/condition/cancer, often the site from which the sample was derived" NA NA NA NA "<;>" NA "dynamic_enum"
"cancer_type" "character" "non-unique" "optional" TRUE "A type(s) of cancer (relevant to the sample) which the patient has been diagnosed with" NA NA NA NA "<;>" NA NA
"cancer_type_detailed" "character" "non-unique" "optional" TRUE "Detailed information which elaborates on the corresponding curated_cancer_type value" NA NA NA NA "<;>" NA NA
"country" "character" "non-unique" "optional" FALSE "Country where subject lives and/or data was collected" NA NA "NCIT:C25464" "descendant" NA NA "dynamic_enum"
"curation_id" "character" "unique" "required" FALSE "Unique identifier" NA NA NA NA NA NA "any"
"disease_metastasic_site" "character" "non-unique" "optional" NA NA NA NA NA NA NA NA NA
"disease_metastasis" "character" "non-unique" "optional" FALSE "Indicates if the sample is derived from a metastatic lesion" NA NA NA NA NA NA NA
"disease_type" "character" "non-unique" "optional" TRUE "Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The disease(s) (relevant to the sample) which the patient has been diagnosed with" NA NA "NCIT:C7057|EFO_0000408" "descendant" "<;>" NA NA
"histological_subtype" "character" "non-unique" "optional" NA NA NA NA NA NA NA NA NA
"location" "character" "non-unique" "optional" FALSE "Location (more specific than 'country') where subject lives and/or data was collected" NA NA NA NA NA NA NA
"molecular_subtype" "character" "non-unique" "optional" NA NA NA NA NA NA NA NA NA
"oncotree_code" "character" "non-unique" "optional" FALSE "A unique identifier assigned to a specific cancer type within the open-source OncoTree classification system." NA NA NA NA NA NA NA
"patientId" "character" "non-unique" "required" FALSE "Subject identifier" NA NA NA NA NA NA NA
"sample_count" "numeric" "non-unique" "required" FALSE "The number of samples belong to a given study/dataset" NA NA NA NA NA NA NA
"sample_type" "character" "non-unique" "optional" FALSE "Indicates if the sample is derived from a metastatic lesion" "Primary Neoplasm;Metastatic Neoplasm;Recurrent Neoplasm;Neoplasm;Benigh Neoplasm;Locally Recurrent Disease;Clinical Relapse;Distant Metastasis" NA NA NA NA NA NA
"sampleId" "character" "non-unique" "required" FALSE "Sample identifier" NA NA NA NA NA NA NA
"sex" "character" "non-unique" "required" FALSE "Biological sex of the subject as reported or inferred by sex-specific biological traits" "Female;Male" NA NA NA NA NA NA
"smoker" "character" "non-unique" "optional" TRUE "Tobacco smoking behavior.  Assign `Non-smoker (finding)` only when the past smoking behavior information is unavailable." "Smoker (finding)|Non-smoker (finding)|Ex-smoker (finding)|Never smoked tobacco (finding)" "SNOMED:77176002|SNOMED:8392000|SNOMED:8517006|SNOMED:266919005" NA NA ";" NA "static_enum"
"specimen_type" "character" "non-unique" "optional" TRUE "The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances. Origin of the specimen, including source of the cells, primary/metastatic/recurrent status, and anatomical location of derivation" NA NA NA NA "<;>" NA NA
"study_design" "character" "non-unique" "optional" TRUE "A plan detailing how a study will be performed in order to represent the phenomenon under examination, to answer the research questions that have been asked, and defining the methods of data analysis. Study design is driven by research hypothesis being posed, study subject/population/sample available, logistics/resources: technology, support, networking, collaborative support, etc." NA NA NA NA ";" NA NA
"studyId" "character" "non-unique" "required" FALSE "Dataset name" NA NA NA NA NA NA NA
"target_condition" "character" "non-unique" "required" TRUE "The primary phenotype/condition of interest in the study from which the sample is derived" NA NA "NCIT:C7057|EFO_0000408" "descendant" ";" NA NA
