field_name,is_numeric_field
age_at_death,yes
age_at_diagnosis,yes
age_at_metastasis,yes
age_at_procurement,yes
age_group,no
ancestry,no
ancestry_details,no
body_site,no
cancer_type,no
cancer_type_detailed,no
country,no
curation_id,no
disease_metastasic_site,no
disease_metastasis,no
disease_type,no
histological_subtype,no
location,no
molecular_subtype,no
oncotree_code,no
patientId,no
sample_count,yes
sample_type,no
sampleId,no
sex,no
smoker,no
specimen_type,no
study_design,no
studyId,no
target_condition,no
treatment_dose,yes
treatment_duration,yes
treatment_end,no
treatment_frequency,no
treatment_group,no
treatment_name,no
treatment_notes,no
treatment_number,yes
treatment_reason,no
treatment_start,no
treatment_status,no
treatment_type,no
tumor_staging_ajcc,no
tumor_staging_tnm,no
vital_status,no
