field_name,source,is_numeric_field
age_at_death,age at death,yes
age_at_death,death age,yes
age_at_death,patient age at death,yes
age_at_death,pt_age_death,yes
age_at_death,ages at death,yes
age_at_death,age_death,yes
age_at_death,pt_age_at_death,yes
age_at_diagnosis,age at diagnosis,yes
age_at_diagnosis,diagnosis age,yes
age_at_diagnosis,patient age at diagnosis,yes
age_at_diagnosis,pt_age_dx,yes
age_at_diagnosis,age at dx,yes
age_at_diagnosis,age_dx,yes
age_at_diagnosis,pt_age_at_diagnosis,yes
age_at_diagnosis,ages at diagnosis,yes
age_at_metastasis,age at metastasis,yes
age_at_metastasis,metastasis age,yes
age_at_metastasis,patient age at metastasis,yes
age_at_metastasis,pt_age_metastasis,yes
age_at_metastasis,age at met,yes
age_at_metastasis,age_metastasis,yes
age_at_metastasis,pt_age_at_metastasis,yes
age_at_metastasis,ages at metastasis,yes
age_at_procurement,age at procurement,yes
age_at_procurement,procurement age,yes
age_at_procurement,patient age at procurement,yes
age_at_procurement,pt_age_procurement,yes
age_at_procurement,age at sample collection,yes
age_at_procurement,age_procurement,yes
age_at_procurement,pt_age_at_procurement,yes
age_at_procurement,ages at procurement,yes
age_group,age group,
age_group,age groups,
age_group,patient age group,
age_group,pt_age_group,
age_group,age_category,
age_group,age_band,
age_group,GROUP.AGE,
age_group,age stratification,
ancestry,ancestry,
ancestry,ethnic ancestry,
ancestry,patient ancestry,
ancestry,pt_ancestry,
ancestry,ANCESTRY TYPE,
ancestry,ethnicity,
ancestry,ethnic background,
ancestry,race ethnicity,
ancestry,ancestries,
ancestry_details,ancestry details,
ancestry_details,detailed ancestry,
ancestry_details,ancestry description,
ancestry_details,patient ancestry details,
ancestry_details,pt_ancestry_details,
ancestry_details,ancestry information,
ancestry_details,ancestry full,
body_site,body site,
body_site,site body,
body_site,anatomic site,
body_site,tumor location,
body_site,primary site,
body_site,body sites,
body_site,sites,
body_site,site,
body_site,specimen site,
cancer_type,cancer type,
cancer_type,type cancer,
cancer_type,cancer diagnosis,
cancer_type,disease type,
cancer_type,malignancy,
cancer_type,cancer types,
cancer_type,tumor type,
cancer_type_detailed,cancer type detailed,
cancer_type_detailed,detailed cancer type,
cancer_type_detailed,cancer type details,
cancer_type_detailed,cancer_subtype,
cancer_type_detailed,cancer type full,
cancer_type_detailed,full cancer type,
cancer_type_detailed,malignancy details,
country,country,
country,country name,
country,countries,
country,country of origin,
country,nation,
country,geographic country,
curation_id,curation id,
curation_id,curation identifier,
curation_id,curated_id,
curation_id,curation number,
curation_id,curatorial_id,
curation_id,curation code,
disease_metastasic_site,disease metastatic site,
disease_metastasic_site,metastatic site,
disease_metastasic_site,metastasis site,
disease_metastasic_site,site metastatic,
disease_metastasic_site,disease metastasis site,
disease_metastasic_site,metastatic sites,
disease_metastasis,disease metastasis,
disease_metastasis,metastatic disease,
disease_metastasis,metastasis,
disease_metastasis,disease metastases,
disease_metastasis,metastasis indicator,
disease_metastasis,metastatic status,
disease_type,disease type,
disease_type,type disease,
disease_type,diagnosis type,
disease_type,disease classification,
disease_type,disease condition,
disease_type,condition,
disease_type,primary diagnosis,
histological_subtype,histological subtype,
histological_subtype,subtype histological,
histological_subtype,histology subtype,
histological_subtype,subtype,
histological_subtype,histology,
histological_subtype,histological_type,
location,location,
location,tissue location,
location,specimen location,
location,anatomic location,
location,site location,
location,locations,
molecular_subtype,molecular subtype,
molecular_subtype,subtype molecular,
molecular_subtype,molecular classification,
molecular_subtype,subtype,
molecular_subtype,genomic subtype,
molecular_subtype,genetic subtype,
oncotree_code,oncotree code,
oncotree_code,code oncotree,
oncotree_code,oncotree,
oncotree_code,oncotree identifier,
oncotree_code,code,
patientId,patient id,
patientId,patient identifier,
patientId,pt_id,
patientId,patient number,
patientId,id patient,
sample_count,sample count,yes
sample_count,count sample,yes
sample_count,number of samples,yes
sample_count,sample_number,yes
sample_count,samples,yes
sample_count,SAMPLE_TOTAL,yes
sample_count,total samples,yes
sample_type,sample type,
sample_type,type sample,
sample_type,specimen type,
sample_type,sample_specimen_type,
sample_type,material type,
sample_type,sample types,
sampleId,sample id,
sampleId,sample identifier,
sampleId,specimen id,
